"Path","Line","Url"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\components\CyberLayout.tsx","431","https://docs.google.com/..."
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\SpreadsheetPage.tsx","108","https://docs.google.com/document/d/${documentMatch[1]}/preview`;"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\SpreadsheetPage.tsx","113","https://docs.google.com/presentation/d/${presentationMatch[1]}/preview`;"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\_smartboarding_backups\Smartboarding_before_closed_default_20260612_002449.tsx","119","https://docs.google.com/spreadsheets/..."
"C:\Users\Deploymet_No_01\Downloads\SpreadsheetPage_stores_preview.tsx","127","https://docs.google.com/spreadsheets/d/${match[1]}/preview`;"
"C:\Users\Deploymet_No_01\Downloads\SpreadsheetPage_stores_preview.tsx","103","https://docs.google.com/spreadsheets/d/${spreadsheetMatch[1]}/preview`;"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\MeasurementValuesPage.tsx","19","https://docs.google.com/spreadsheets/d/1FEU1wA1Rzp_FU4h4OQ7qhreawlsOqwUdqY2z9rs6e_E/edit?gid=268657057#gid=268657057"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\MeasurementValuesPage.tsx","3","https://docs.google.com/spreadsheets/d/1FEU1wA1Rzp_FU4h4OQ7qhreawlsOqwUdqY2z9rs6e_E/preview?gid=268657057"
"C:\Users\Deploymet_No_01\Downloads\SpreadsheetPage_current.txt","24","https://docs.google.com/spreadsheets/d/1MyrxpLeKCLu1KNdfWLTGio38mFkDhPmpVNn-hLTgSWw/edit?gid=1212632163#gid=1212632163"
"C:\Users\Deploymet_No_01\Downloads\SpreadsheetPage_stores_preview.tsx","30","https://docs.google.com/spreadsheets/d/1P1kcKNJvlr8uA0XWxfFdpKU2RWFt8bj1RQUD6hH9Zhg/edit?gid=1323337038#gid=1323337038"
"C:\Users\Deploymet_No_01\Downloads\SpreadsheetPage_current.txt","25","https://docs.google.com/spreadsheets/d/1Y4Cw1XcLdb-EZhklHkgq8v2LO9ma8PRnqCnPNJW-aVE/edit?gid=1336532237#gid=1336532237"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\SpreadsheetPage.tsx","537","https://docs.google.com/spreadsheets/d/xxxxx/edit?usp=sharing"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\Drive.tsx","28","https://drive.google.com/drive/folders/${FOLDER_ID}`;"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\README_PUBLISH.md","37","https://drive.google.com/drive/folders/1BxiMVs0XRA5nFMdKvBdBZjgmUUqptlbs74OgVE2upms`"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\client\src\pages\Drive.tsx","29","https://drive.google.com/embeddedfolderview?id=${FOLDER_ID}#list`;"
"C:\Users\Deploymet_No_01\Documents\web\TXO_SITES_HISTORY_AND_HANDOFF_2026-07-06.md","35","https://telexistence-guide-v3.onrender.com/"
"C:\Users\Deploymet_No_01\Downloads\TXO_Sites_引継ぎ資料.md","50","https://telexistence-guide-v3.onrender.com/`"
"C:\Users\Deploymet_No_01\Documents\web\TXO_SITES_HISTORY_AND_HANDOFF_2026-07-06.md","36","https://telexistence-guide.onrender.com/"
"C:\Users\Deploymet_No_01\Downloads\TzJewJIKzITrFxOH\telexistence\README_PUBLISH.md","56","https://telexistence-guide.onrender.com/*`"
